date,edges,vertices,edge_vertices_ratio,to_from_ratio,density
Tue May 11 11:02:40 2021,3192,15787,4.945802005012531,1.8824173817783458,2.5616581362728456e-05
Tue May 11 11:10:57 2021,2671,13863,5.19019093972295,1.326006711409396,2.779846183856612e-05
Tue May 11 11:14:41 2021,2322,13398,5.7700258397932815,1.1721789883268483,2.58728744004655e-05
Tue May 11 11:46:04 2021,5826,30419,5.221249570889118,1.6104007551703423,1.2592874856732542e-05
Tue May 11 11:51:12 2021,1564,10726,6.858056265984655,0.556071376759031,2.719140515150211e-05
Tue May 11 11:51:52 2021,2233,11640,5.212718316166592,1.0579915134370579,3.296477153922306e-05
Tue May 11 11:52:52 2021,2073,12041,5.808490110950314,1.6621711253592748,2.859830242242659e-05
Tue May 11 11:53:29 2021,718,8399,11.697771587743732,0.3074408468244085,2.0358744325956993e-05
Tue May 11 12:09:14 2021,1885,12064,6.4,1.0130151843817787,2.5905661941473928e-05
Tue May 11 12:11:38 2021,1590,10540,6.628930817610063,0.6217879673795969,2.862774265927963e-05
Tue May 11 12:29:19 2021,2598,14084,5.421093148575827,1.3810650887573965,2.619678203892156e-05
Tue May 11 12:41:13 2021,2676,14684,5.487294469357249,1.6128113879003558,2.4823152201562215e-05
Tue May 11 12:46:04 2021,2070,11555,5.582125603864735,0.9608009502799932,3.100973308634406e-05
Tue May 11 12:48:45 2021,1790,10267,5.735754189944134,0.6565020974507906,3.396551505923728e-05
Tue May 11 12:52:56 2021,1052,11591,11.0180608365019,0.40106370119666385,1.5661789899917144e-05
Tue May 11 12:59:14 2021,1602,12204,7.617977528089888,0.5526717557251909,2.1514125473764006e-05
Tue May 11 13:05:17 2021,1537,12144,7.9011060507482105,0.5491771909682357,2.0845682060409458e-05
Tue May 11 13:21:23 2021,1967,10691,5.435180477885104,1.5066822977725673,3.4422176001268386e-05
Tue May 11 13:25:43 2021,1876,10857,5.787313432835821,1.0469457013574661,3.18334095909787e-05
